"stable","prog","dead"
0.000438904237125892,0.00890268706845265,0.990658408694421
0.000401950256989192,0.00829866655043621,0.991299383192575
0.000368029462783692,0.00773202357914504,0.991899946958071
0.00033690014203358,0.00720073017680434,0.992462369681162
0.000308339177970907,0.00670284631166418,0.992988814510365
0.000282140679610965,0.00623651781277546,0.993481341507614
0.000258114707248791,0.00579997418336697,0.993941911109384
0.000236086087226139,0.0053915263305,0.994372387582274
0.000215893310174131,0.00500956422735066,0.994774542462475
0.000197387507267499,0.00465255452320856,0.995150057969524
0.000180431499346545,0.00431903811506729,0.995500530385586
0.000164898914070122,0.00400762769352447,0.995827473392405
0.000150673366548171,0.00371700527460772,0.996132321358844
0.000137647699180898,0.00344591972809594,0.996416432572723
0.000125723276691247,0.00319318431191018,0.996681092411399
